"uuid","store_name","store_street","store_street2","store_city","store_state","store_zip","store_phone","Ycoord","Xcoord"
"1","A & B NATURALS","101 COTTAGE STREET","","BAR HARBOR","ME","4609","(207) 288-8480","44.3889082","-68.2121214"
"2","Al Ducci's Italian Pastry","133 Elm Street","","Manchester Ctr","VT","5255","802-362-4449","43.1492638","-73.0641396"
"3","ALL THE BEST","93 RIPLEY RD","","COHASSET","MA","2025","(781) 383-3005","42.241163","-70.8051259"
"4","ALLANDALE FARM","259 ALLANDALE RD","","BROOKLINE","MA","2467","(617) 524-1531","42.3016834","-71.1392007"
"5","American Provisions","613 East Broadway","","Boston","MA","2127","","42.335366","-71.039753"
"6","Amici Market","155 North Country Road","","Palm Beach","FL","33480","561-832-0201","26.7056206","-80.0364297"
"7","Ancona's Market Inc.","720 Branchville Road","","Ridgefield","CT","6877","","41.2678481","-73.4432776"
"8","Andronico's Community Markets","14234 Catalina Street","","San Leandro","CA","94577","510-667-1856","37.6967105","-122.1728149"
"9","Andronico's Community Markets:Berkeley","1850 Solano Avenue","","Berkeley","CA","94707","510-524-1673","37.891358","-122.2785086"
"10","Andronico's Community Markets:Los Altos","690 Los Altos Rancho Center","","Los Altos Hills","CA","94024","650-948-6648","37.3796627","-122.1374637"
"11","Andronico's Community Markets:San Anselmo","100 Center Boulevard","","San Anselmo","CA","94960","415-455-8186","37.9769379","-122.562912"
"12","Andronico's Community Markets:San Francisco","1200 Irving Street","","San Francisco","CA","94122","415-661-3220","37.764379","-122.47101"
"13","Andronico's Community Markets:Shattuck Ave","1550 Shattuck Avenue","","Berkeley","CA","94709","(510) 841-7942","37.878856","-122.269806"
"14","Annebeth's","75 Maryland Avenue","","Annapolis","MD","21401","(410) 990-9700","38.9795753","-76.4901038"
"15","Argenta Market","521 Main","","North Little Rock","AR","72114","501.416.5555","34.7587524","-92.2581158"
"16","Artichoke Red","2808 Edgewater Drive","","Orlando","FL","32804","","28.5809372","-81.3896092"
"17","Aspens Market","4015 Lake Creek Drive N","","Wilson","WY","83014","(307) 200-6140","43.5007599","-110.8752112"
"18","Atkinsons' Market:Ketchum","451 4th Street East","","Ketchum","ID","83340","","43.6822986","-114.3638834"
"19","AURORA PROVISIONS","64 PINE ST","","PORTLAND","ME","4102","(207) 871-9060","43.6611308","-70.2989334"
"20","AXIS NATURAL FOODS","120 CENTER ST PLAZA STE 300","","AUBURN","ME","4210","(207) 782-3348","44.0978509","-70.2311655"
"21","B Nutritious","2 East 76th Street","","New York","NY","10021","646-943-0755","40.7749159","-73.9649934"
"22","Bartlett's Farm","33 Bartlett Farm Road","","Nantucket","MA","2554","","41.259482","-70.131707"
"23","Basil Bandwagon Natural Market","276 Rte 202","","Flemington","NJ","8822","908-788-5737","40.5123258","-74.8593318"
"24","BATH NATURAL MARKET","36 CENTRE STREET","","BATH","ME","4530","(207) 442-8012","43.9124947","-69.8151213"
"25","Beacon Hill Wine & Gourmet","538 Main Street","","Melrose","MA","2176","781-665-3332","42.4560348","-71.0647566"
"26","BELFAST COOP STORE","123 HIGH STREET","","BELFAST","ME","4915","(207) 338-2532","44.4262163","-69.0055482"
"27","Berkshire Organics","813 Dalton Division Road","","Dalton","MA","1230","(413) 446-5510","42.202173","-73.3472901"
"28","Better Health:Novi","42875 Grand River Ave","","Novi","MI","48375","(248) 735-8100","42.477903","-83.468811"
"29","Black Forest Acres #2","1100 Rt 33","","Hamilton","NJ","8690","609-586-6187","40.2276834","-74.6576091"
"30","Boston Wine Exchange","181 Devonshire Street","","Boston","MA","2110","617-422-0100","42.3560434","-71.0574132"
"31","Brattleboro Food Coop","2 Main Street","","Brattleboro","VT","5301","(802) 257-0236","42.850357","-72.559094"
"32","Brooklyn Fare","200 Schermerhorn Street","","Brooklyn","NY","11201","","40.6986772","-73.9859414"
"33","BUFFALO MOUNTAIN COOP STORE","39 SOUTH MAIN ST","","HARDWICK","VT","5843","(802) 472-6020","44.5044488","-72.36623"
"34","Bumble Olive Oil Company",""Westfield Franklin Park"," Suite 1420"","5001 Monroe Street","Toledo","OH","43623","419.517.5552","41.6984804","-83.6430229"
"35","Butcher Bar","37-08 30th Avenue","","Astoria","NY","11103","718-606-8140","40.764265","-73.9164179"
"36","Cambridge Naturals","23 White Street","","Cambridge","MA","2140","617-492-4452","42.3964457","-71.1359393"
"37",""CHAMOMILLE NATURAL FOODS"," INC."","60 NEWTOWN RD","","DANBURY","CT","6810","(203) 792-8952","41.4054058","-73.4204814"
"38","CIDER HILL FARM","45 FERN AVE.","","AMESBURY","MA","1913","(978) 388-5525","42.8584235","-70.9300547"
"39","City Feed and Supply:Centre Street","672 Centre Street","","Jamaica Plain","MA","2130","617-553-4822","42.3123619","-71.1140699"
"40","City Market/Onion River Food Co-Op","82 S Winooski Ave","# 2","Burlington","VT","5401","(802) 861-9700","44.4804251","-73.2112028"
"41","Clever Hen","767 Ames Ave.","","Milpitas","CA","95035","408.516.4140","37.4198059","-121.8897395"
"42",""CLOWN"," LLC."","P.O. BOX 769","","YORK","ME","3909","(207) 351-3063","43.1617687","-70.648292"
"43","Cocoanuts Boston","28 Parmenter Street","","Boston","MA","2113","518-269-9123","42.363919","-71.055338"
"44","Columbus Natural Foods","725 Columbus Ave","","New York","NY","10025","(212) 663-0345","40.7926334","-73.9676661"
"45","CONCORD FOOD COOP STORE","24 1/2 SOUTH MAIN STREET","","CONCORD","NH","3301","(603) 225-6840","43.204232","-71.5356939"
"46","COOP Food Store: Lebanon","12 Centerra Parkway","","Lebanon","NH","3756","","43.6743042","-72.2613534"
"47","Coplin Co-Op","","","Eustis","ME","4936","","45.2169896","-70.4786979"
"48","Cornucopia Foods","150 Main Street","","Northampton","MA","1060","413-586-3800","42.3250492","-72.6411923"
"49","COUNTY JUNCTION MARKET","53 MAINE ST.","","HOULTON","ME","4730","(207) 532-2218","46.1261806","-67.8402316"
"50","Dean & Deluca: Kansas","4700 West 119th Street","","Leawood","KS","66206","913.498.3131","38.9135183","-94.6406037"
"51","Dean & Deluca: Madison Ave","1150 Madison Ave","","New York","NY","10028","212.717.0800","40.780362","-73.9594087"
"52","Dean & Deluca: Napa Valley","607 St Helena Hwy","","St. Helena","CA","94574","707-967-9980","38.5027778","-122.4697222"
"53","Dean & Deluca: North Carolina","6903 Phillips Place Court","","Charlotte","NC","28210","704.643.6868","35.1274285","-80.8599193"
"54","Dean & Deluca: SoHo","560 Broadway","","New York","NY","10012","212-226-6800","40.7250632","-73.9976946"
"55",""Dean & Deluca: Washington"," D.C."","3276 M Street NW","","Washington","DC","20007","202.342.2500","38.904674","-77.065152"
"56","Debra's Natural Gourmet","98 Commonwealth Avenue","","West Concord","MA","1742","978-371-7573","42.458427","-71.3953388"
"57","Dekalb Natural Market","230 DeKalb Avenue","","Brooklyn","NY","11205","","40.6894027","-73.9698719"
"58","Dennisport Natural Market","1218 Main St","","Chatham","MA","2633","","41.6853129","-69.9794169"
"59","Dépanneur","242 Wythe Ave","","Brooklyn","NY","11211","(347) 227-8424","40.7173731","-73.9627756"
"60","Dill Pickle Food Co-op","3039 W. Fullerton Ave.","","Chicago","IL","60647","773-252-COOP (2667)","41.9244429","-87.7038929"
"61","DOVER NATURAL FOODS","7 CHESTNUT - on CORNER","","DOVER","NH","3820","(603) 749-9999","43.1978624","-70.8736698"
"62","EDGE OF THE WOODS INC","379 WHALLEY AVE.","","NEW HAVEN","CT","6511","(203) 787-1055","41.3176962","-72.945208"
"63","Eli's Manhattan","1411 Third Avenue","","New York","NY","10028","(212) 717-8100","40.7766412","-73.9521468"
"64","Evergood Super Market","1674 Massachusetts Ave","","Cambridge","MA","2138","617-354-8331","42.3823223","-71.1198946"
"65","Everyday Eclectic","181 River Street","","Chattanooga","Tennessee","37405","(423) 505-3337","35.0618375","-85.3065487"
"66","FLEA","Laura Grabe","158 Rowayton Ave #B","Norwalk","CT","6853","203-286-6673","41.0676906","-73.4386466"
"67","Food Cellar and Co","4-85 47th Road","","Long Island City","NY","11101","","40.7453207","-73.9560239"
"68","Foodies Boston","1421 Washington Street","","Boston","MA","2118","(617) 266-9911","42.3410021","-71.0706231"
"69","Foodlife","835 N. Michigan Ave","","Chicago","IL","60611","312.335.3663","41.8925085","-87.6161696"
"70","For Earth's Sake",""120 West Avenue"," Suite 102"","","Saratoga Springs","NY","12866","518.306.6605","43.076955","-73.802985"
"71","Forager's Market: Chelsea","300 West 22nd street","","New York","NY","10011","212-243-8888","40.7447611","-73.9995093"
"72","Foragers Market: DUMBO","56 Adams Street","","Brooklyn","NY","11201","718-801-8400","40.7026408","-73.9885244"
