"uuid","store_name","store_street","store_street2","store_city","store_state","store_zip","store_phone","Ycoord","Xcoord"
"1","ROCHESTER","4001 N 132nd St","","Omaha","NE","68164","","41.294502","-96.1168"
"2","BATAVIA","1951 W Jefferson Ave","","Naperville","IL","60540","","41.770116","-88.203988"
"3","CORONA","15345 W 119th St","","Olathe","KS","66062","","38.910615","-94.764132"
"4","ABINGDON","1200 Edwards Ferry Rd","","Leesburg","VA","20176","","39.11565","-77.535529"
"5","TAMPA CENTRAL WALTERS CROSSING","7930 Northfield Blvd","","Denver","CO","80238","","39.783593","-104.895397"
"6","IRONDEQUOIT","1400 24th Ave NW","","Norman","OK","73069","","35.235615","-97.483067"
"7","HENDERSON SOUTH","449 Commerce Dr","","Woodbury","MN","55125","","44.940047","-92.909513"
"8","ROCHESTER","3201 S Iowa St","","Lawrence","KS","66046","","38.925762","-95.263724"
"9","WORCESTER","3827 Marketplace Dr NW","","Rochester","MN","55901","","44.063128","-92.503406"
"10","CORONA","12200 Blue Valley Pkwy","","Overland Park","KS","66213","","38.908651","-94.672435"
"11","CYPRESS","530 Randall Rd","","South Elgin","IL","60177","","41.975971","-88.343843"
"12","CHICAGO MCKINLEY PARK","800 Broadview Village Sq","","Broadview","IL","60155","","41.855011","-87.851129"
"13","IRONDEQUOIT","9670 Prominent Pt","","Colorado Springs","CO","80924","","38.973484","-104.746077"
"14","SAN ANTONIO FAR E","15800 87th St NE","","Otsego","MN","55330","","45.278502","-93.563905"
"15","ROCHESTER","718 N Washington St","","Papillion","NE","68046","","41.165159","-96.044927"
"16","WORCESTER","111 Pioneer Trl","","Chaska","MN","55318","","44.827557","-93.60087"
"17","CORONA","12200 Blue Valley Pkwy","","Overland Park","KS","66213","","38.908651","-94.672435"
"18","OAK CREEK","10445 Reed St","","Westminster","CO","80021","","39.886487","-105.078849"
"19","CENTER TOWNSHIP","1515 County Road B W","","Roseville","MN","55113","","45.00777","-93.16414"
"20","EDGEWATER","1300 University Ave W","","Saint Paul","MN","55104","","44.952949","-93.155689"
"21","SPRING HILL EAST","130 S Mannheim Rd","","Hillside","IL","60162","","41.86755","-87.883306"
"22","ROCHESTER","5225 Elmore Ave","","Davenport","IA","52807","","41.572703","-90.526632"
"23","LACEY","4848 County Road 101","","Minnetonka","MN","55345","","44.915974","-93.503263"
"24","CORONA","15700 Shawnee Mission Pkwy","","Shawnee","KS","66217","","39.010473","-94.768027"
"25","OAK CREEK","8455 N Wickham Rd","","Melbourne","FL","32940","","28.227828","-80.719784"
"26","BIDDEFORD","6150 Bayfield Pkwy","","Concord","NC","28027","","35.416701","-80.678793"
"27","NATL CTY PL BONITA","4701 Lakeview Pkwy","","Rowlett","TX","75088","","32.908986","-96.558426"
"28","HOUSTON SOUTH","18700 Limestone Commercial Dr Ste 100","","Pflugerville","TX","78660","","30.466934","-97.598769"
"29","ROCHESTER","5225 Elmore Ave","","Davenport","IA","52807","","41.572703","-90.526632"
"30","MILFORD","13924 N Pennsylvania Ave","","Oklahoma City","OK","73134","","35.612521","-97.547129"
"31","CORONA","10711 E 71st St","","Tulsa","OK","74133","","36.060985","-95.858228"
"32","OAK CREEK","10155 Okeechobee Blvd","","West Palm Beach","FL","33411","","26.710947","-80.202964"
"33","DIAMOND BAR","1447 E 7th St","","Monticello","MN","55362","","45.293892","-93.772519"
"34","CHAMBERSBURG","5270 S State Hwy 360","","Grand Prairie","TX","75052","","32.643066","-97.060469"
"35","N LAS VEGAS DEER SP","27818 Clinton Keith Rd","","Murrieta","CA","92562","","33.598949","-117.177191"
"36","SHOREVIEW","3800 Lexington Ave N","","Shoreview","MN","55126","","45.056467","-93.145041"
"37","MILFORD","1200 E 2nd St","","Edmond","OK","73034","","35.649978","-97.464326"
"38","CORONA","3601 32nd Ave S","","Grand Forks","ND","58201","","47.886783","-97.080127"
"39","LAKE PARK/PALM BEACH GARDENS","10800 E 21st St N","","Wichita","KS","67206","","37.724338","-97.211719"
"40","GLOUCESTER TOWNSHIP","2171 Prairie Center Pkwy","","Brighton","CO","80601","","39.956369","-104.780395"
"41","FRONT ROYAL","6445 Richfield Pkwy","","Richfield","MN","55423","","44.885562","-93.248333"
"42","N LAS VEGAS DEER SP","5561 Grove Blvd","","Birmingham","AL","35226","","33.362674","-86.850542"
"43","PLYMOUTH","4175 Vinewood Ln N","","Plymouth","MN","55442","","45.03167","-93.450675"
"44","CINCINNATI CENTRAL","749 Apollo Dr","","Lino Lakes","MN","55014","","45.184764","-93.105316"
"45","QUEENSBURY","11990 Business Park Blvd N","","Champlin","MN","55316","","45.173009","-93.38818"
"46","LAKE PARK/PALM BEACH GARDENS","2727 N Maize Rd","","Wichita","KS","67205","","37.731913","-97.465385"
"47","LA CANTERA","8900 Hwy 7","","Minneapolis","MN","55426","","44.936079","-93.392715"
"48","BRISTOL","7000 York Ave S","","Edina","MN","55435","","44.875237","-93.323998"
"49","N LAS VEGAS DEER SP","150 E Stacy Rd Ste 2400","","Allen","TX","75002","","33.129756","-96.657767"
"50","HARLINGEN","3450 4th St SW","","Mason City","IA","50401","","43.149779","-93.252394"
"51","ATHENS","21615 S Diamond Lake Rd","","Rogers","MN","55374","","45.197664","-93.554328"
"52","QUEENSBURY","1500 109th Ave NE","","Blaine","MN","55449","","45.165588","-93.232704"
"53","BONNEY LAKE","3931 S Gilbert Rd","","Gilbert","AZ","85297","","33.279566","-111.78932"
"54","MARYSVILLE","15300 Grove Circle N","","Maple Grove","MN","55369","","45.136609","-93.47485"
"55","RICHLAND","8040 Mediterranean Dr","","Estero","FL","33928","","26.406674","-81.806126"
"56","N LAS VEGAS DEER SP","4760 State Hwy 121","","Lewisville","TX","75056","","33.066344","-96.88627"
"57","BRADENTON","13711 S Tamiami Trl","","Fort Myers","FL","33912","","26.542508","-81.868421"
"58","BELLEVUE","18275 Kenrick Ave","","Lakeville","MN","55044","","44.68393","-93.291564"
"59","QUEENSBURY","14333 Hwy 13","","Savage","MN","55378","","44.74339","-93.379619"
"60","HOUSTON MEYERLAND","7400 S Gartrell Rd","","Aurora","CO","80016","","39.581233","-104.72208"
"61","MARYSVILLE","14451 Orchard Pkwy","","Westminster","CO","80023","","39.958888","-104.995584"
